@relation dataset_accelerometer

@attribute id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric
@attribute tag {OTHER,POCKET}

@data
11152,-1.359907,-10.122684,-0.248997,382061056050600,OTHER
11153,-0.890643,-9.950302,-0.335188,382061076130775,OTHER
11154,-0.670376,-9.844957,-0.287304,382061096180433,OTHER
11155,-0.507571,-9.969456,0.143652,382061116260607,OTHER
11156,-0.124498,-10.0748,0.019154,382061136340782,OTHER
11157,-0.47884,-9.615114,-0.248997,382061156420957,OTHER
11158,-1.446098,-9.605537,-0.986411,382061176501132,OTHER
11159,-1.082179,-10.409989,-0.248997,382061196581307,OTHER
11160,0.746991,-10.793061,-0.076614,382061216661481,OTHER
11161,0.766145,-10.658986,0,382061236741657,OTHER
11162,0.009577,-10.199299,0.153229,382061256821831,OTHER
11163,-0.565032,-10.342952,0.411803,382061276871489,OTHER
11164,-0.651223,-10.180145,0.220267,382061296951664,OTHER
11165,-0.794875,-9.787497,0.134075,382061317031839,OTHER
11166,-0.948104,-10.01734,0.430956,382061337112013,OTHER
11167,-1.37906,-10.208876,-0.114922,382061357192188,OTHER
11168,-1.177947,-9.548077,-0.21069,382061377272363,OTHER
11169,-2.106898,-9.251195,-0.45011,382061397352537,OTHER
11170,-2.049437,-9.624691,0.067038,382061417432713,OTHER
11171,-1.283292,-9.356541,0.23942,382061437512887,OTHER
11172,-1.56102,-9.375694,-0.335188,382061457593062,OTHER
11173,-1.704672,-9.844957,-0.21069,382061477673237,OTHER
11174,-1.455675,-9.911995,-0.23942,382061497722895,OTHER
11175,-1.206678,-10.084377,-0.143652,382061517803069,OTHER
11176,-0.814029,-10.065224,-0.057461,382061537883244,OTHER
11177,-0.833182,-10.132261,-0.105345,382061557963419,OTHER
11178,-1.13964,-10.132261,-0.134075,382061578043593,OTHER
11179,-1.292869,-9.911995,0.009577,382061598123769,OTHER
11180,-1.436521,-9.950302,-0.47884,382061618203943,OTHER
11181,-1.244985,-9.835381,-0.038307,382061638284118,OTHER
11182,-1.331176,-9.873688,-0.191536,382061658333776,OTHER
11183,-1.359907,-9.902418,-0.248997,382061678413951,OTHER
11184,-1.302446,-10.026917,-0.086191,382061698494125,OTHER
11185,-1.216254,-9.749189,0,382061718574301,OTHER
11186,-1.264138,-9.854534,-0.143652,382061738654475,OTHER
11187,-1.264138,-9.883265,-0.095768,382061758734649,OTHER
