@relation dataset_accelerometer_unlabeled

@attribute ﻿id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric

@data
1380,-0.21069,1.819593,9.77792,381864837671157
1381,-0.248997,1.58975,9.844957,381864857751332
1382,-0.21069,1.551443,9.969456,381864877831507
1383,-0.057461,1.608904,10.093954,381864897911682
1384,-0.02873,1.369483,10.199299,381864917991857
1385,-0.019154,1.235408,10.199299,381864938072031
1386,-0.172383,0.957681,10.228029,381864958152206
1387,-0.287304,0.794875,10.208876,381864978232381
1388,-0.201113,0.718261,10.371682,381864998312556
1389,-0.047884,0.68953,10.160992,381865018362213
1390,0.067038,0.68953,10.170568,381865038442388
1391,0.019154,0.727837,10.189722,381865058522563
1392,0.038307,0.536301,10.151415,381865078602738
1393,-0.153229,0.325611,10.199299,381865098682913
1394,-0.02873,0.363919,10.304645,381865118763088
1395,0.086191,0.45011,10.093954,381865138843262
1396,-0.086191,0.373495,9.720459,381865158923437
1397,-0.248997,0.229843,9.442732,381865179003612
1398,-0.248997,0.248997,9.165004,381865199083787
1399,-0.019154,0.383072,8.973468,381865219163962
1400,0.306458,0.641646,8.465898,381865239244136
1401,0.593762,0.919373,7.603985,381865259324311
1402,1.015141,1.312023,7.04853,381865279404486
1403,1.426944,1.637634,6.799533,381865299484660
1404,1.417367,1.56102,7.000646,381865319564836
1405,1.292869,1.130063,7.163452,381865339645010
1406,1.292869,0.526724,6.550536,381865359725185
1407,0.842759,0.114922,5.554548,381865379805360
1408,0.68953,0.095768,5.094861,381865399885534
1409,0.6608,0.248997,4.951209,381865419965710
1410,0.612916,0.296881,5.0374,381865440045884
1411,1.16837,0.565032,6.177041,381865460126058
1412,1.675941,0.68953,7.843405,381865480206234
1413,2.03986,0.229843,8.90643,381865500286408
1414,1.972822,-0.785298,9.241618,381865520366584
1415,0.833182,-1.130063,10.429143,381865540446758
1416,1.369483,-1.493982,11.405977,381865560526932
1417,1.455675,-1.580173,11.712435,381865580607108
1418,2.221819,-1.321599,12.143391,381865600687282
1419,2.547431,-1.455675,13.330915,381865620767458
1420,1.675941,-1.781286,15.322891,381865640817114
1421,1.896208,-1.599327,16.950949,381865660897290
1422,1.848324,-1.225831,16.903065,381865680977464
1423,2.030283,-0.948104,15.294161,381865701057640
1424,2.183512,-0.632069,12.74673,381865721137814
1425,2.327164,-0.383072,10.860099,381865741217989
1426,1.953669,-0.086191,10.429143,381865761298164
1427,2.70066,-0.679953,10.371682,381865781378338
1428,3.323152,-1.101333,10.687716,381865801458514
1429,3.859453,-0.919373,11.042058,381865821538688
1430,3.926491,-1.043872,10.783484,381865841618863
1431,3.859453,-1.034295,10.113108,381865861699038
1432,3.189077,-0.708684,9.662998,381865881779212
1433,3.44765,-0.919373,9.260772,381865901859387
1434,3.361459,-1.321599,8.944737,381865921939562
1435,3.533842,-1.628057,8.552089,381865942019737
1436,3.457227,-1.714248,8.188169,381865962099912
1437,4.644751,-1.934515,-1.37906,381865982180086
1438,2.863465,-1.417367,3.045424,381866002260261
1439,2.25055,-1.781286,0.306458,381866022340436
1440,4.58729,-3.983952,22.313959,381866042420611
1441,3.41892,-1.944092,9.950302,381866062470268
1442,3.524265,-1.723825,9.653421,381866082550443
1443,4.855441,-3.8403,9.356541,381866102630618
1444,3.294421,-0.938527,9.136273,381866122710793
1445,3.533842,-1.915361,9.528923,381866142790968
1446,3.878607,-0.651223,9.461885,381866162871142
1447,3.916914,-0.440533,9.356541,381866182951317
1448,3.39019,-0.622492,8.446744,381866203031492
1449,4.165911,-0.68953,9.768343,381866223111667
1450,3.476381,-0.383072,9.509769,381866243191842
1451,2.959233,-0.287304,9.356541,381866263272017
1452,2.949656,-0.220267,9.749189,381866283352191
1453,2.681506,-0.354342,9.911995,381866303432366
1454,2.576161,-0.363919,9.615114,381866323512541
1455,2.394202,-0.335188,9.768343,381866343592715
1456,2.135628,-0.258574,9.835381,381866363672891
1457,2.020706,-0.229843,9.797073,381866383722548
1458,1.905785,-0.440533,9.835381,381866403802723
1459,1.733402,-0.354342,9.902418,381866423882898
1460,1.522712,-0.335188,9.911995,381866443963073
1461,1.388637,-0.316035,9.998186,381866464043247
1462,1.331176,-0.363919,9.883265,381866484123422
1463,1.225831,-0.354342,9.911995,381866504203597
1464,1.072602,-0.354342,9.787497,381866524283771
1465,0.90022,-0.383072,9.701305,381866544363947
1466,0.785298,-0.344765,9.835381,381866564444121
1467,-0.909797,-0.430956,3.438074,381866584524296
1468,0.287304,-0.134075,10.812215,381866604604471
1469,-0.047884,-0.134075,9.979033,381866624684645
1470,0.019154,-0.220267,10.208876,381866644764821
1471,-0.009577,-0.258574,9.998186,381866664844995
1472,0,-0.402226,9.490616,381866684925170
1473,-0.114922,-0.316035,10.218452,381866705005345
1474,-0.067038,-0.248997,10.189722,381866725085519
1475,0,-0.344765,9.864111,381866745165695
1476,-0.047884,-0.316035,10.026917,381866765245869
1477,-0.047884,-0.354342,10.036493,381866785326043
1478,-0.02873,-0.277727,9.883265,381866805406219
1479,0.009577,-0.277727,10.026917,381866825486393
1480,-0.02873,-0.325611,10.04607,381866845566569
